description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Mattias Thyr,1,180,25,75,%,,,,,,
,1,450,75,105,%,110,,,,,
,1,450,100,80,%,100,,,,,
,1,180,0,0,0,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,150,55,55,%,,,,,,
,1,30,140,140,%,,,,,,
,1,180,0,0,0,,,,,,
,1,180,95,95,%,55,,,,,
,1,180,95,95,%,110,,,,,
,1,180,95,95,%,55,,,,,
,1,180,95,95,%,110,,,,,
,1,180,95,95,%,55,,,,,
,1,180,95,95,%,110,,,,,
,1,180,75,25,%,,,,,,
