description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: B. McInnes,1,420,39,55,%,,,,,,
,1,540,56,59,%,,,,,,
,1,600,70,70,%,,,,,,
,1,300,85,85,%,,,,,,
,1,180,0,0,0,,,,,,
,1,180,100,100,%,,,,,,
,1,10,175,175,%,,,,,,
,1,30,125,125,%,,,,,,
,1,120,115,115,%,,,,,,
,1,180,100,100,%,,,,,,
,1,600,0,0,0,,,,,,
,1,180,100,100,%,,,,,,
,1,10,175,175,%,,,,,,
,1,30,125,125,%,,,,,,
,1,120,115,115,%,,,,,,
,1,180,100,100,%,,,,,,
,1,600,0,0,0,,,,,,
,1,180,100,100,%,,,,,,
,1,10,175,175,%,,,,,,
,1,30,125,125,%,,,,,,
,1,120,115,115,%,,,,,,
,1,180,100,100,%,,,,,,
,1,600,0,0,0,,,,,,
