description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: K.McGehee,1,330,25,75,%,,,,,,
,1,90,90,90,%,,,,,,
,1,60,110,110,%,,,,,,
,1,90,91,91,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,150,50,50,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,81,81,%,,,,,,
,1,90,100,100,%,,,,,,
,1,60,130,130,%,,,,,,
,1,30,150,150,%,,,,,,
,1,60,130,130,%,,,,,,
,1,600,100,100,%,,,,,,
,1,60,130,130,%,,,,,,
,1,30,150,150,%,,,,,,
,1,60,130,130,%,,,,,,
,1,90,100,100,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,150,50,50,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,80,80,%,,,,,,
,1,90,91,91,%,,,,,,
,1,60,110,110,%,,,,,,
,1,90,91,91,%,,,,,,
,1,330,75,26,%,,,,,,
