description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Italian professional cyclist, who currently rides for UCI World Team Ineos Grenadiers is a sprinting legend. Returning for his second spell with the team, Elia has achieved so much both on the road and track, with two Olympic medals, 9 grand tour stage wins and 85 pro road victories.        With sprinting chops like that it's only right we serve up one of his favorite sprint sessions. Today's workout consists of 3 “longer sprints” of 1 min, 2 min, 1 min with full recovery. To finish off the workout you've got 2 rounds of 3 x 15 seconds sprints. If this doesn't make you faster, nothing will.",1,180,50,50,%,,,,,,
,1,360,50,80,%,,,,,,
,1,120,50,50,%,,,,,,
,2,30,115,115,%,,120,50,50,%,
,1,120,55,55,%,,,,,,
,1,60,130,130,%,,,,,,
,1,120,55,55,%,,,,,,
,1,120,120,120,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,130,130,%,,,,,,
,1,240,55,55,%,,,,,,
,3,15,140,140,%,,45,55,55,%,
,1,180,55,55,%,,,,,,
,3,15,140,140,%,,45,55,55,%,
,1,300,65,50,%,,,,,,
