description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Ivan Garcia Cortina is a sprinter and Classics specialist. He also won the 2017 Red Hook Criterium Milan fixed gear criterium race which requires MANY short and sharp efforts, while being able to recover between. Today we have over/under threshold training with the aim to improve the buffer capacity of your body and put your muscles working at their maximum capacity of lactate clearance.",1,540,40,80,%,,,,,,
,1,60,40,40,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,300,45,45,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,105,105,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,70,70,%,,,,,,
,1,300,55,35,%,,,,,,
