description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Kurt Maw | GC Coaching (via TrainingPeaks),1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,80,80,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,80,80,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,55,55,%,,,,,,
,1,165,80,80,%,,,,,,
,1,45,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,165,80,80,%,,,,,,
,1,45,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,165,80,80,%,,,,,,
,1,45,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,55,55,%,,,,,,
,1,150,80,80,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,65,65,%,,,,,,
,1,150,80,80,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,65,65,%,,,,,,
,1,150,80,80,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,65,65,%,,,,,,
,1,210,50,30,%,,,,,,
