description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Working your way into the longer climbs requires good pacing and the ability to lift the power towards the crest. In this session we roll up some 5min climbs, with the final 2min being where the gradient and power kicks up.",1,180,50,50,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,50,50,%,,,,,,
,1,240,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,76,91,%,,,,,,
,1,120,91,106,%,70,,,,,
,1,240,50,50,%,,,,,,
,1,180,76,91,%,,,,,,
,1,120,91,106,%,70,,,,,
,1,240,50,50,%,,,,,,
,1,180,76,91,%,,,,,,
,1,120,91,106,%,70,,,,,
,1,240,50,50,%,,,,,,
,1,180,76,91,%,,,,,,
,1,120,91,106,%,70,,,,,
,1,240,50,50,%,,,,,,
,1,180,76,91,%,,,,,,
,1,120,91,106,%,70,,,,,
,1,240,50,50,%,,,,,,
