description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Working beyond your threshold point will result in the accumulation of lactate and you will fatigue very quickly.For a MTB rider, raising the power you can produce at this threshold is of paramount importance.This supra-threshold session of 4x 5 minutes will have you working at just above your anaerobic threshold power.",1,300,42,70,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,70,70,%,,,,,,
,4,10,175,175,%,,50,50,50,%,
,1,120,50,50,%,,,,,,
,1,240,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,103,108,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,103,108,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,103,108,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,103,108,%,,,,,,
,1,300,50,50,%,,,,,,
