description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Teniel Campbell is a UCI pro cyclist for Team BikeExchange-Jayco and comes from the small island of Trinidad and Tobago. Teniel won four medals at the 2018 Central American and Caribbean Games and she won the U23 individual time trial at the 2019 Pan American Road and Track Championships. She joined Team BikeExchange in 2021 and recently won her national road and TT championship. Today's session is a great one to improve all-around fitness. The main set is 2 x 10 min as 90 second ramp from 83% - 93%, 20 second ramp from 105% - 120% and 10 seconds MAX, 5 times through! Get ready this one is going to be fun!",1,300,50,60,%,,,,,,
,1,300,60,90,%,,,,,,
,1,120,55,55,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,300,50,50,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,90,83,93,%,,,,,,
,1,20,105,120,%,,,,,,
,1,10,150,150,%,,,,,,
,1,300,65,50,%,,,,,,
