description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Working in your Tempo zone, today we are varying the cadence and power. Observe your HR during the 15min intervals and look for changes in heart rate when your cadence changes.",1,180,50,50,%,,,,,,
,4,10,180,180,%,,50,50,50,%,
,1,180,70,70,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,89,89,%,95,,,,,
,1,300,77,77,%,90,,,,,
,1,300,89,89,%,95,,,,,
,1,300,50,50,%,,,,,,
,1,300,77,77,%,95,,,,,
,1,300,82,82,%,90,,,,,
,1,300,89,89,%,95,,,,,
,1,300,75,50,%,,,,,,
