description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Tempo work is the basis of many training programs and is an area of great necessity. The key benefit to completing tempo work indoors is the lack of interruptions to the effort and ERG mode makes things much simpler.Tempo intervals build a foundation of endurance and fatigue resistance.,1,180,50,50,%,,,,,,
,2,60,75,75,%,,60,50,50,%,
,2,60,90,90,%,,60,50,50,%,
,1,180,50,50,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,50,50,%,,,,,,
,1,360,75,88,%,80,,,,,
,1,120,50,50,%,,,,,,
,1,360,75,88,%,90,,,,,
,1,120,50,50,%,,,,,,
,1,360,75,88,%,80,,,,,
,1,120,50,50,%,,,,,,
,1,360,75,88,%,90,,,,,
,1,120,50,50,%,,,,,,
,1,180,80,80,%,,,,,,
,1,300,50,50,%,,,,,,
