description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"  Todays effort is going to be a little into the threshold zone, but nothing too crazy. Broken up into rounds even with some building built in, all in all a very tame workout in that FTP effort. Warm up 7 minutes super easy and then 10 minutes of 1 minute build to fast rpm's into 1 minute easy rpm. 5 minutes easy into 2 rounds of 4x2 minutes building from to threshold effort (80-100%FTP build) then 2nd round straight at Threshold with 2 minutes between.",1,420,45,65,%,,,,,,
,4,60,80,80,%,,60,55,55,%,
,1,240,50,50,%,,,,,,
,1,40,85,85,%,,,,,,
,1,40,95,95,%,,,,,,
,1,40,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,40,85,85,%,,,,,,
,1,40,95,95,%,,,,,,
,1,40,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,40,85,85,%,,,,,,
,1,40,95,95,%,,,,,,
,1,40,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,40,85,85,%,,,,,,
,1,40,95,95,%,,,,,,
,1,40,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,40,85,85,%,,,,,,
,1,40,95,95,%,,,,,,
,1,40,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,240,50,50,%,,,,,,
,5,120,100,100,%,,60,55,55,%,
,1,420,55,45,%,,,,,,
