description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This session is about race replication. Short intense efforts, followed by longer sustained efforts. Led by Time Trial Specialist, Kristin Armstrong.These workouts have been designed and tested by some of the best cyclists in the world. Olympians and World Champions such as Sir Bradley Wiggins, Fabian Cancellara, Dame Sarah Storey and Kristin Armstrong.",1,180,35,55,%,,,,,,
,1,30,150,150,%,,,,,,
,1,30,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,90,55,55,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,90,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,1,30,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,90,55,55,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,180,55,35,%,,,,,,
