description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Matthew Bottrill,1,600,50,70,%,,,,,,
,1,300,87,87,%,,,,,,
,1,300,97,97,%,,,,,,
,1,180,102,102,%,,,,,,
,1,30,135,135,%,,,,,,
,1,300,50,50,%,,,,,,
,1,300,87,87,%,,,,,,
,1,300,97,97,%,,,,,,
,1,180,102,102,%,,,,,,
,1,30,135,135,%,,,,,,
,1,300,50,50,%,,,,,,
,1,300,87,87,%,,,,,,
,1,300,97,97,%,,,,,,
,1,180,102,102,%,,,,,,
,1,30,135,135,%,,,,,,
,1,270,55,35,%,,,,,,
