description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Helen Jenkins,1,240,56,56,%,,,,,,
,1,180,66,66,%,,,,,,
,1,120,90,90,%,,,,,,
,1,180,56,56,%,,,,,,
,2,10,170,170,%,,50,50,50,%,
,1,180,56,56,%,,,,,,
,1,360,94,94,%,,,,,,
,1,60,110,110,%,,,,,,
,1,180,56,56,%,,,,,,
,1,60,110,110,%,,,,,,
,1,360,94,94,%,,,,,,
,1,180,56,56,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,300,94,94,%,,,,,,
,1,30,80,80,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,56,56,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,96,96,%,,,,,,
,1,120,102,102,%,,,,,,
,1,60,108,108,%,,,,,,
,1,180,56,56,%,,,,,,
,1,180,48,48,%,,,,,,
