description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Natarsha Tremayne,1,10,50,50,%,,,,,,
,1,480,45,60,%,50,,,,,
,1,10,110,110,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,120,120,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,140,140,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,150,150,%,,,,,,
,1,40,50,50,%,,,,,,
,1,600,75,75,%,55,,,,,
,1,600,85,85,%,60,,,,,
,1,600,95,95,%,65,,,,,
,10,40,120,120,%,,20,50,50,%,
,1,540,65,50,%,,,,,,
