description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Reece Barclay,1,600,50,81,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,85,,,,,
,3,40,109,109,%,,60,91,91,%,
,1,150,50,50,%,,,,,,
,3,40,109,109,%,,60,91,91,%,
,1,150,50,50,%,,,,,,
,3,40,109,109,%,,60,90,90,%,
,1,150,50,50,%,,,,,,
,3,40,109,109,%,,60,91,91,%,
,1,150,51,51,%,,,,,,
,3,40,109,109,%,,60,90,90,%,
,1,150,50,50,%,,,,,,
,1,510,75,25,%,,,,,,
