description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Lucy Gossage,1,720,50,75,%,,,,,,
,6,60,110,110,%,,30,50,50,%,
,1,120,50,50,%,,,,,,
,2,240,90,90,%,,60,50,50,%,
,1,60,50,50,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,50,50,%,,,,,,
,2,180,110,110,%,,60,50,50,%,
,1,300,75,75,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,75,75,%,,,,,,
,1,90,90,90,%,,,,,,
,1,120,110,110,%,,,,,,
,1,90,90,90,%,,,,,,
,1,30,75,75,%,,,,,,
,1,300,50,50,%,,,,,,
,4,40,120,120,%,,20,50,50,%,
,1,180,60,60,%,,,,,,
,1,120,50,50,%,,,,,,
,1,60,40,40,%,,,,,,
