description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Rob Wilby  (Team Oxygenaddict),1,300,50,70,%,,,,,,
,3,25,90,90,%,,30,55,55,%,
,1,120,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,1,135,55,40,%,,,,,,
