description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: R.Jones (Jinx_sport),1,300,55,55,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,80,80,%,,,,,,
,1,120,55,55,%,,,,,,
,3,60,95,95,%,,60,50,50,%,
,1,180,60,60,%,,,,,,
,1,240,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,120,85,85,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,240,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,120,85,85,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,240,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,120,85,85,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,240,81,81,%,,,,,,
,1,60,65,65,%,,,,,,
,1,120,85,85,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,360,75,25,%,,,,,,
