description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: www.raceforce.co.uk,1,420,51,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,105,105,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,115,115,%,,,,,,
,1,120,50,50,%,,,,,,
,4,120,100,100,%,,30,50,50,%,
,1,60,50,50,%,,,,,,
,4,60,105,105,%,,30,50,50,%,
,1,60,50,50,%,,,,,,
,4,60,100,100,%,,30,50,50,%,
,1,60,50,50,%,,,,,,
,1,300,100,100,%,,,,,,
,1,360,66,55,%,,,,,,
