description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Reece Barclay,1,420,49,74,%,,,,,,
,1,120,110,110,%,,,,,,
,1,90,50,50,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,101,108,%,,,,,,
,1,60,108,108,%,,,,,,
,1,60,108,100,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,101,109,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,109,101,%,,,,,,
,1,180,59,59,%,,,,,,
,4,60,100,100,%,,60,108,108,%,
,1,240,60,60,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,100,100,%,,,,,,
,1,120,105,105,%,,,,,,
,1,300,59,59,%,,,,,,
,6,30,119,119,%,,45,50,50,%,
,1,360,74,24,%,,,,,,
