description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: J.Levison,1,120,40,65,%,,,,,,
,4,20,110,110,%,,30,50,50,%,
,1,120,50,75,%,,,,,,
,4,20,115,115,%,,30,50,50,%,
,1,120,60,85,%,,,,,,
,4,20,120,120,%,,30,50,50,%,
,1,240,80,80,%,,,,,,
,1,60,110,110,%,,,,,,
,1,240,80,80,%,,,,,,
,1,60,110,110,%,,,,,,
,1,240,80,80,%,,,,,,
,1,90,60,60,%,,,,,,
,5,15,150,150,%,,45,50,50,%,
,1,300,50,80,%,,,,,,
,5,30,110,110,%,,40,90,90,%,
,1,90,75,50,%,,,,,,
,1,90,50,75,%,,,,,,
,5,30,110,110,%,,40,90,90,%,
,1,230,75,40,%,,,,,,
