description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Steady tempo efforts are great. But by incorporating some high intensity efforts into them, you will improve your body's ability to work aerobically for long periods. Today's sessions consists of long tempo efforts with a surge every few minutes.",1,180,50,50,%,,,,,,
,4,10,200,200,%,,50,50,50,%,
,1,180,60,75,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,104,%,,,,,,
,1,180,50,50,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,300,50,50,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,30,106,120,%,,,,,,
,1,210,76,90,%,,,,,,
,1,300,70,45,%,,,,,,
