description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The 40/20 sessions consist of 40sec above your threshold pace, followed by 20sec of rest.By continually lifting power above what is comfortable, you will improve your ability to recover from hard efforts.Monitor your heart rate before and after each interval. Has heart rate increased significantly over the course of the efforts?",1,180,50,50,%,,,,,,
,4,10,175,175,%,110,50,50,50,%,80
,1,180,70,70,%,95,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,90,%,90,,,,,
,1,180,50,50,%,85,,,,,
,5,40,109,109,%,95,30,55,55,%,80
,1,300,50,50,%,85,,,,,
,5,40,109,109,%,95,20,55,55,%,80
,1,300,50,50,%,85,,,,,
,5,40,109,109,%,95,20,55,55,%,80
,1,300,50,50,%,85,,,,,
