description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Complete 8 x 1 Min Anaerobic Capacity Intervals, before finishing with a 25 Min zone 2 effort. Observe your Heart Rate response during the 25 Min effort. How much does it increase throughout the effort?",1,600,50,74,%,,,,,,
,1,60,119,119,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,119,119,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,75,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,60,50,50,%,,,,,,
,1,1500,77,77,%,,,,,,
,1,300,75,51,%,,,,,,
