description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Y'all wanna do some anaerobic work? No? Well, you're gonna do it anyways. You would be correct to think this kind of effort isn't as important in gravel racing, but you'd be wrong to think it still wont benefit you. And besides, it's fun. This is possibly a higher watt than you are used to hitting on the trainer, so please set yourself up to be successful by being ready with high RPM's and a positive attitude!",1,480,45,65,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,55,55,%,,,,,,
,3,120,90,90,%,,120,55,55,%,
,4,30,160,160,%,,90,50,50,%,
,1,210,50,50,%,,,,,,
,4,30,160,160,%,,90,50,50,%,
,1,210,50,50,%,,,,,,
,1,120,55,45,%,,,,,,
