description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today's workout comes to us from Team Jumbo-Visma and is a workout that will sting a bit, but is the type of workout that is shown to increase a rider's threshold. VO2 efforts sit within Zone 5 which is the zone that impacts aerobic capacity. Today we will do 6x2 minute efforts that will keep you right in this zone.",1,480,50,65,%,,,,,,
,3,10,125,125,%,,180,55,55,%,
,1,240,85,85,%,,,,,,
,1,180,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,120,55,55,%,,,,,,
,3,120,120,120,%,,120,50,50,%,
,1,120,55,55,%,,,,,,
,3,120,120,120,%,,120,50,50,%,
,1,180,65,55,%,,,,,,
