description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Workout of the Week this week features one of Zwift's most popular workout! It features a fun way to do tempo efforts and build endurance. Steady tempo efforts are great, but by incorporating 30sec high-intensity efforts into them, you will improve your body's ability to maintain power outputs for longer periods of time. This helps the body adapt to the natural surges in climbing around hairpin corners.",1,480,50,75,%,,,,,,
,1,120,50,50,%,85,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,300,50,50,%,85,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,30,100,120,%,100,,,,,
,1,210,75,88,%,90,,,,,
,1,300,69,44,%,,,,,,
