description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"After completing 6 x Capacity intervals that climb from 88-130% FTP over 2min, the session finishes with a 5min tempo effort. Generally 5min at tempo is quite comfortable, but how will it be after 6 x 2min capacity efforts?",1,180,45,60,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,88,130,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,360,75,50,%,,,,,,
