description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
A race simulation on Watopia Volcano Circuit where you'll tackle 5 laps of the course.,1,420,50,75,%,,,,,,
,2,30,110,110,%,110,30,55,55,%,85
,1,60,55,55,%,,,,,,
,1,20,150,150,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,75,75,%,,,,,,
,1,120,90,90,%,,,,,,
,1,10,130,130,%,,,,,,
,1,120,90,90,%,,,,,,
,1,20,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,10,130,130,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,120,90,90,%,,,,,,
,1,10,130,130,%,,,,,,
,1,120,90,90,%,,,,,,
,1,20,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,10,130,130,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,120,90,90,%,,,,,,
,1,10,130,130,%,,,,,,
,1,120,90,90,%,,,,,,
,1,20,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,10,130,130,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,120,90,90,%,,,,,,
,1,10,130,130,%,,,,,,
,1,120,90,90,%,,,,,,
,1,20,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,10,130,130,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,120,90,90,%,,,,,,
,1,10,130,130,%,,,,,,
,1,120,90,90,%,,,,,,
,1,20,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,10,150,150,%,,,,,,
,1,60,100,100,%,,,,,,
,1,20,200,200,%,,,,,,
,1,180,55,35,%,,,,,,
