description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
A race simulation on Watopia Hilly Reverse where you'll tackle 3 laps of the course.,1,420,35,55,%,,,,,,
,2,30,110,110,%,110,30,55,55,%,85
,1,60,55,55,%,85,,,,,
,1,20,150,150,%,,,,,,
,1,30,75,75,%,,,,,,
,1,60,100,100,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,120,90,90,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,120,120,120,%,,,,,,
,1,20,55,55,%,,,,,,
,1,120,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,120,90,90,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,120,120,120,%,,,,,,
,1,20,55,55,%,,,,,,
,1,120,105,105,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,120,90,90,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,90,130,130,%,,,,,,
,1,20,55,55,%,,,,,,
,1,90,115,115,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,100,100,%,,,,,,
,1,20,200,200,%,,,,,,
,1,240,55,55,%,,,,,,
