description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Warm up well including 3 x 6 second accelerations during the 10 minute warm up. Followed by 2 sets of3 x 5min @ 112%, 109% and 105% respectively, with 5min recovery.Riding between sets is 'Free Ride Endurance'.Cool down.",1,300,50,50,%,,,,,,
,1,60,57,57,%,,,,,,
,1,60,63,63,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,76,76,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,113,113,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,109,109,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,105,105,%,,,,,,
,1,300,55,55,%,,,,,,
,1,900,0,0,0,,,,,,
,1,300,113,113,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,109,109,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,105,105,%,,,,,,
,1,300,55,55,%,,,,,,
,1,60,76,76,%,,,,,,
,1,60,73,73,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,67,67,%,,,,,,
,1,60,64,64,%,,,,,,
,1,60,62,62,%,,,,,,
,1,60,59,59,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,50,50,%,,,,,,
