description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"PURE STRENGTH #2-----WU:10 Min increasing power through Power Zone 1 and 2. Include 3 x 6 Sec high cadence / low power sprints during warm up period.-----MS1:3 x 45 Sec Pure Strength (PS) High Power / Low Cadence Intervals.Remain seated for PS effortsTARGET: Power Zone 4 CADENCE: 50rpmRECOVERY: 5 Min-----Once PS intervals are completed, perform 10min Tempo including 3 x 10 Sec max sprints from close to race speed. 3 Min recovery between sprints.TARGET: Maximal effortCADENCE: 100+rpm",1,600,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,600,81,81,%,,,,,,
,1,300,55,55,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,45,98,98,%,50,,,,,
,1,180,55,55,%,,,,,,
,1,600,81,81,%,,,,,,
,1,300,75,50,%,,,,,,
