description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"3 climbs of 11 minutes in duration today, but each one is climbed using a different cadence.Just like a climb outdoors, the required power will increase throughout the 11min.",1,600,50,75,%,,,,,,
,1,60,55,55,%,,,,,,
,1,360,80,80,%,85,,,,,
,1,240,95,95,%,85,,,,,
,1,60,105,105,%,85,,,,,
,1,300,55,55,%,,,,,,
,1,360,81,81,%,80,,,,,
,1,240,95,95,%,80,,,,,
,1,60,105,105,%,80,,,,,
,1,300,55,55,%,,,,,,
,1,360,80,80,%,70,,,,,
,1,240,95,95,%,70,,,,,
,1,60,105,105,%,70,,,,,
,1,300,75,50,%,,,,,,
