description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
This short workout concentrates on 30 second efforts with short recoveries to help boost VO2 power (just above your FTP).,1,480,30,100,%,,,,,,
,1,30,205,205,%,,,,,,
,1,160,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,155,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,150,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,145,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,140,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,135,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,130,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,125,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,115,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,110,50,50,%,,,,,,
,1,30,205,205,%,,,,,,
,1,300,70,30,%,,,,,,
