description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Ready for your first Zwift workout? Water bottle and fan all good to go? The goal today is to go over the basics and get a good workout, but don't worry, we'll keep it light and fun!",1,300,40,55,%,,,,,,
,1,120,55,55,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,121,121,%,,,,,,
,1,210,65,40,%,,,,,,
