description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This session is about maximising your sustainable power output. Your muscular endurance, led by Time Trial Specialist, Kristin Armstrong.These workouts have been designed and tested by some of the best cyclists in the world. Olympians and World Champions such as Sir Bradley Wiggins, Fabian Cancellara, Dame Sarah Storey and Kristin Armstrong.",1,180,35,55,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,120,96,96,%,,,,,,
,1,60,104,104,%,,,,,,
,1,180,55,35,%,,,,,,
