description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Completing 2 x 20min Tempo efforts today. However, the sustained effort is broken up with 15 second surges.We also vary the target cadence during the tempo effort from 75rpm in the first Interval, to 95rpm in the second Interval.Complete the 15 second surges out of the seat, before settling back into the Tempo effort.",1,600,50,75,%,,,,,,
,1,285,88,88,%,75,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,75,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,75,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,75,,,,,
,1,15,150,150,%,,,,,,
,1,300,50,50,%,,,,,,
,1,285,88,88,%,95,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,95,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,95,,,,,
,1,15,150,150,%,,,,,,
,1,285,88,88,%,95,,,,,
,1,15,150,150,%,,,,,,
,1,600,75,50,%,,,,,,
