description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The basis of today's session is to simulate long tempo climbs.However, each Tempo interval is completed with a different high intensity effort.The tempo portion of each interval is completed at a low climbing cadence.",1,600,50,75,%,,,,,,
,1,900,88,88,%,75,,,,,
,1,30,150,150,%,,,,,,
,1,300,55,55,%,,,,,,
,1,600,80,80,%,75,,,,,
,1,600,98,98,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,80,80,%,75,,,,,
,1,300,105,105,%,,,,,,
,1,300,75,50,%,,,,,,
