description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"You want to be faster? How bad do you want it? This bad?  FTP and Anaerobic intervals are on your menu today then.  Get ready for a speed injection. Remember: ""Pain is speed entering the body"" Warm-up 10minutes and then 3 x 1 minute fast pedaling drills >110rpmNow, time for 4 x 10minutes at 105% of FTP, resting 3 minutes between each and then an easy cruise for 5minutes after the fourth one.  Finish with 4 x 2 minutes, working your anaerobic capacity at 125% of FTP.  Resting for 2minutes between.  Cool-down",1,600,25,75,%,,,,,,
,3,60,75,75,%,110,60,50,50,%,80
,1,600,105,105,%,,,,,,
,1,180,65,65,%,,,,,,
,1,600,105,105,%,,,,,,
,1,180,65,65,%,,,,,,
,1,600,105,105,%,,,,,,
,1,180,65,65,%,,,,,,
,1,600,105,105,%,,,,,,
,1,180,65,65,%,,,,,,
,1,120,125,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,125,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,125,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,125,125,%,,,,,,
,1,600,75,25,%,,,,,,
