description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Johan Hasselmark,1,900,30,90,%,,,,,,
,1,180,65,65,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,125,125,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,80,80,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,125,125,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,80,80,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,125,125,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,80,80,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,125,125,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,80,80,%,,,,,,
,1,300,50,50,%,,,,,,
,1,300,65,65,%,,,,,,
,6,180,105,105,%,,60,50,50,%,
,1,600,65,40,%,,,,,,
