description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This session includes 5 x 3 minute regressive intervals, with 3 minutes recovery between each effort. Each effort will get easier as you progress, so brace yourself for a tough opening 30 seconds. You should always be able to talk throughout and remember to listen to your body.",1,300,25,70,%,,,,,,
,1,180,51,51,%,,,,,,
,1,180,95,75,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,95,75,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,96,76,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,95,75,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,95,75,%,,,,,,
,1,300,65,35,%,,,,,,
