description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout is filled with a number of inconsistent segments ranging from :10 seconds to 2 minutes in duration. This is a great way to train ""tackling the unknown"". Being nimble whether it is on the bike or off is important. Sometimes we just need to go with what's put in front of us! Enjoy, it's a fun one and will fly by before you know it.",1,30,35,35,%,85,,,,,
,1,30,40,40,%,85,,,,,
,1,30,45,45,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,45,55,55,%,85,,,,,
,1,45,60,60,%,85,,,,,
,1,45,65,65,%,85,,,,,
,1,45,70,70,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,60,90,90,%,85,,,,,
,1,30,55,55,%,85,,,,,
,1,45,100,100,%,85,,,,,
,1,60,65,65,%,85,,,,,
,1,25,100,100,%,85,25,55,55,%,85
,1,25,100,100,%,85,25,55,55,%,85
,1,60,85,85,%,85,,,,,
,1,30,55,55,%,85,,,,,
,1,20,110,110,%,85,,,,,
,1,30,65,65,%,85,,,,,
,1,30,110,110,%,85,,,,,
,1,45,55,55,%,85,,,,,
,1,20,100,100,%,85,,,,,
,1,30,65,65,%,85,,,,,
,1,10,105,105,%,85,25,55,55,%,85
,1,25,100,100,%,85,25,55,55,%,85
,1,45,90,90,%,85,,,,,
,1,30,55,55,%,85,,,,,
,1,30,100,100,%,85,,,,,
,1,45,65,65,%,85,,,,,
,1,120,80,80,%,85,,,,,
,1,45,55,55,%,85,,,,,
,1,20,110,110,%,85,,,,,
,1,30,65,65,%,85,,,,,
,1,25,100,100,%,85,25,55,55,%,85
,1,30,110,110,%,85,,,,,
,1,30,55,55,%,85,,,,,
,1,20,105,105,%,85,,,,,
,1,60,60,60,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,60,50,50,%,85,,,,,
,1,60,45,45,%,85,,,,,
,1,60,40,40,%,85,,,,,
