description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This session is a fitness builder. We will experience time in three different training zones - Threshold, Vo2 and our Anaerobic zone. Today's session consists of 3x 2 minutes at 100% of FTP (Threshold), 3x 1 minute at 110% of FTP (VO2), and 6x :30 seconds at 120% of FTP (Anaerobic). As we increase power, we will decrease time in each effort.",1,210,60,60,%,,,,,,
,1,90,68,68,%,,,,,,
,1,90,75,75,%,,,,,,
,1,90,83,83,%,,,,,,
,1,90,90,90,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,55,55,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,55,55,%,,,,,,
,1,30,110,110,%,,,,,,
,1,90,55,55,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,53,53,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,53,53,%,,,,,,
,1,120,100,100,%,,,,,,
,1,120,53,53,%,,,,,,
,1,60,106,106,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,106,106,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,106,106,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,270,55,30,%,,,,,,
