description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Its foundation time! This ride is continuous without many ""rest periods"". Kicking off with a :15 sec push followed by 2 minutes in our Sweet Spot zone repeated 9 times. 9x :15 seconds at 120% (Anaerobic), 2 minutes 88% (SweetSpot). Be mindful not to be overzealous; going out too hard will catch up later in the ride!",1,225,60,60,%,,,,,,
,1,90,68,68,%,,,,,,
,1,90,75,75,%,,,,,,
,1,90,83,83,%,,,,,,
,1,90,90,90,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,30,120,120,%,,30,55,55,%,
,1,60,50,50,%,,,,,,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,15,120,120,%,,120,88,88,%,
,1,240,50,50,%,,,,,,
