description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
This workout will ask a lot of you. But you didn't get to this point without a lot of Tenacity. So let that fitness shine through today.,1,300,25,65,%,,,,,,
,1,300,65,65,%,95,,,,,
,1,60,75,75,%,100,,,,,
,1,60,80,80,%,100,,,,,
,1,30,55,55,%,85,,,,,
,1,60,85,85,%,105,,,,,
,1,60,90,90,%,105,,,,,
,1,30,55,55,%,85,,,,,
,1,60,95,95,%,110,,,,,
,1,60,100,100,%,110,,,,,
,1,180,55,55,%,85,,,,,
,6,300,85,85,%,90,5,200,200,%,110
,1,360,55,55,%,85,,,,,
,6,300,85,85,%,90,5,200,200,%,110
,1,360,55,55,%,85,,,,,
,4,60,115,115,%,100,60,55,55,%,85
,1,120,40,40,%,85,,,,,
,4,60,115,115,%,100,60,55,55,%,85
,1,540,55,25,%,,,,,,
