description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"All the Unicorn workouts are based off of the visual spectrum (Red, Orange, Yellow, Green, Blue, Indigo, Violet (purple)) with the same order of easiest to hardest.  So, Red Unicorn features the least training load, Orange Unicorn the second, etc. This is the easiest of them all, but it is still a great workout.",1,300,40,60,%,,,,,,
,1,300,60,60,%,95,,,,,
,1,60,80,80,%,95,,,,,
,1,30,95,95,%,95,,,,,
,1,30,55,55,%,85,,,,,
,1,60,80,80,%,100,,,,,
,1,30,105,105,%,100,,,,,
,1,30,55,55,%,85,,,,,
,1,60,80,80,%,105,,,,,
,1,30,115,115,%,105,,,,,
,1,30,55,55,%,85,,,,,
,1,240,55,55,%,85,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,120,55,55,%,85,,,,,
,6,60,80,80,%,70,30,105,105,%,100
,1,120,55,55,%,85,,,,,
,6,60,80,80,%,90,30,105,105,%,90
,1,120,55,55,%,85,,,,,
,6,60,80,80,%,75,30,105,105,%,60
,1,120,55,55,%,85,,,,,
,1,300,75,75,%,95,,,,,
,5,60,75,75,%,70,60,75,75,%,105
,1,300,75,75,%,95,,,,,
,1,360,75,40,%,,,,,,
