description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"With a focus on short efforts, the focus here is on your ability to Attack(!) the group and recover after. The kind of punchy top end acceleration that you will need to compete... against a group or just your own PRs!",1,600,25,75,%,,,,,,
,1,30,95,95,%,95,30,50,50,%,85
,1,30,105,105,%,105,30,50,50,%,85
,1,30,115,115,%,115,30,50,50,%,85
,1,120,50,50,%,85,,,,,
,1,30,150,150,%,110,,,,,
,1,570,80,80,%,90,,,,,
,1,180,55,55,%,85,,,,,
,1,30,150,150,%,110,,,,,
,1,630,80,80,%,90,,,,,
,1,180,55,55,%,85,,,,,
,1,30,150,150,%,110,,,,,
,1,750,80,80,%,90,,,,,
,1,300,80,25,%,,,,,,
