description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Paul deGrandis,1,1200,41,137,%,,,,,,
,1,60,89,89,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,106,106,%,,,,,,
,1,180,137,137,%,,,,,,
,1,300,91,91,%,,,,,,
,1,300,85,85,%,,,,,,
,1,10,239,239,%,,,,,,
,1,180,75,75,%,,,,,,
,3,40,120,120,%,,60,75,75,%,
,1,60,74,74,%,,,,,,
,1,20,246,246,%,,,,,,
,1,120,104,104,%,,,,,,
,1,120,91,91,%,,,,,,
,1,60,89,89,%,,,,,,
,1,30,253,253,%,,,,,,
,1,180,75,75,%,,,,,,
,1,300,74,41,%,,,,,,
