description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Paul deGrandis,1,300,48,75,%,,,,,,
,1,120,107,107,%,,,,,,
,1,180,105,105,%,,,,,,
,1,300,102,102,%,,,,,,
,1,300,104,104,%,,,,,,
,1,30,110,110,%,,,,,,
,1,300,102,102,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,95,95,%,,,,,,
,1,300,102,102,%,,,,,,
,1,120,88,88,%,,,,,,
,1,360,93,93,%,,,,,,
,1,360,75,75,%,,,,,,
,1,360,90,90,%,,,,,,
,1,300,0,0,0,,,,,,
,1,15,170,170,%,,,,,,
,1,300,0,0,0,,,,,,
,3,90,119,119,%,,210,82,82,%,
,1,300,80,80,%,,,,,,
,1,300,75,48,%,,,,,,
