description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This is designed to improve your Vo2max power, so you are ready for hard steep climbs and the big wattage needed to attack those hills. This workout has longer recoveries in order to focus on the maximum power produced for each interval. Really drill it on each. Warm up for 10minutes and then do 3 x 1minute fast pedaling drills.Then get ready for 7 x 3minutes with 4 minutes between each at endurance pace recovering well.   Cool-down.",1,600,25,75,%,,,,,,
,3,60,75,75,%,110,60,50,50,%,80
,1,180,115,115,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,113,113,%,,,,,,
,1,540,75,25,%,,,,,,
