description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: R.Manning - Tailwind Coaching,1,720,25,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,125,125,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,125,125,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,120,120,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,135,135,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,150,150,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,135,135,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,120,120,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,135,135,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,150,150,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,165,165,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,175,175,%,,,,,,
,1,420,75,25,%,,,,,,
