description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"To prep you for the random nature of bike racing, here are a bunch of attack simulations of random length and intensities.  Go for it!  Warm up for 10minutes with 3 x 1 minute fast pedaling drills >110rpm. Then ride at tempo pace and complete the hard hills!Cool-down",1,600,25,75,%,,,,,,
,3,60,75,75,%,,60,50,50,%,
,1,60,125,125,%,,,,,,
,1,120,81,81,%,,,,,,
,1,138,109,109,%,,,,,,
,1,72,93,93,%,,,,,,
,1,47,150,150,%,,,,,,
,1,213,100,120,%,,,,,,
,1,60,87,87,%,,,,,,
,1,60,135,135,%,,,,,,
,1,300,76,76,%,,,,,,
,1,154,120,100,%,,,,,,
,1,295,65,110,%,,,,,,
,1,300,65,65,%,,,,,,
,1,133,135,135,%,,,,,,
,1,323,89,130,%,,,,,,
,1,480,75,25,%,,,,,,
