description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Dig Deep Coaching ,1,300,25,65,%,,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,30,150,150,%,105,,,,,
,1,120,80,80,%,,,,,,
,1,30,150,150,%,105,,,,,
,1,120,80,80,%,,,,,,
,1,30,150,150,%,105,,,,,
,1,120,80,80,%,,,,,,
,1,30,150,150,%,105,,,,,
,1,120,80,80,%,,,,,,
,1,180,80,80,%,85,,,,,
,1,60,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,105,105,%,,,,,,
,1,300,75,75,%,,,,,,
,1,30,120,120,%,75,,,,,
,1,90,105,105,%,75,,,,,
,1,60,95,95,%,85,,,,,
,1,60,105,105,%,95,,,,,
,1,300,55,55,%,,,,,,
,1,60,110,110,%,75,,,,,
,1,90,95,95,%,75,,,,,
,1,60,107,107,%,85,,,,,
,1,45,130,130,%,95,,,,,
,1,420,60,25,%,,,,,,
,1,300,0,0,%,,,,,,
