description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Hey there, welcome to 'Let's Get Moving' with Coach Kristin! This is your first stop in the Fitness Jumpstart series. We're going to get those legs moving and hearts pumping, while also clueing you in on some smart goal-setting tips. Today's plan? Three sets of six-minute intervals, gradually upping the power every 30 seconds in Zones 3 and 4. It's all about fun and building endurance!",1,60,50,50,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,63,63,%,,,,,,
,1,60,69,69,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,55,55,%,,,,,,
,5,30,65,65,%,,30,89,89,%,
,1,60,55,55,%,,60,55,55,%,
,1,30,85,85,%,,,,,,
,1,30,86,86,%,,,,,,
,1,30,88,88,%,,,,,,
,1,30,89,89,%,,,,,,
,1,30,90,90,%,,,,,,
,1,30,91,91,%,,,,,,
,1,30,93,93,%,,,,,,
,1,30,94,94,%,,,,,,
,1,30,95,95,%,,,,,,
,1,30,96,96,%,,,,,,
,1,30,98,98,%,,,,,,
,1,30,99,99,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,65,65,%,,,,,,
,1,30,85,85,%,,,,,,
,1,30,86,86,%,,,,,,
,1,30,89,89,%,,,,,,
,1,30,90,90,%,,,,,,
,1,30,91,91,%,,,,,,
,1,30,93,93,%,,,,,,
,1,30,94,94,%,,,,,,
,1,30,95,95,%,,,,,,
,1,30,96,96,%,,,,,,
,1,30,98,98,%,,,,,,
,1,30,99,99,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,65,65,%,,,,,,
,1,30,85,85,%,,,,,,
,1,30,86,86,%,,,,,,
,1,30,88,88,%,,,,,,
,1,30,89,89,%,,,,,,
,1,30,90,90,%,,,,,,
,1,30,91,91,%,,,,,,
,1,30,93,93,%,,,,,,
,1,30,94,94,%,,,,,,
,1,30,95,95,%,,,,,,
,1,30,96,96,%,,,,,,
,1,30,98,98,%,,,,,,
,1,30,99,99,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,60,60,%,,,,,,
