description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Welcome to 'Build and Release'! Today's challenge? We're building intensity every two minutes, like tackling a steepening climb. Then, we hit five 20-second powerful efforts, earning double the rest-for 40-seconds. It's a ride that demands focus and loads of energy!",1,60,60,60,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,30,50,50,%,,,,,,
,3,10,110,110,%,,20,50,50,%,
,1,120,55,55,%,,,,,,
,1,140,70,70,%,,,,,,
,1,120,85,85,%,,,,,,
,1,120,100,100,%,,,,,,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,140,70,70,%,,,,,,
,1,120,85,85,%,,,,,,
,1,120,100,100,%,,,,,,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,140,70,70,%,,,,,,
,1,120,85,85,%,,,,,,
,1,120,100,100,%,,,,,,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,20,130,130,%,,40,60,60,%,
,1,180,55,55,%,,,,,,
