description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Holding a steady pace and being able to surge repeatedly over short and sharp climbs is key to finishing UNBOUND. The course itself looks fairly flat, but in actuality, there are dozens of small rolling hills to contend with. This workout will help prepare you for dealing with them. UNBOUND Gravel is a grassroots event, organized and managed by folks who are passionate about cycling, and have done so for the primary purpose of providing life-enriching cycling experiences for event participants.",1,300,40,60,%,,,,,,
,1,300,60,60,%,95,,,,,
,1,180,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,60,,,,,
,1,60,95,95,%,60,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,60,,,,,
,1,60,95,95,%,60,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,60,,,,,
,1,60,95,95,%,60,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,60,55,55,%,85,,,,,
,1,180,80,80,%,60,,,,,
,1,30,95,95,%,100,,,,,
,1,30,95,120,%,,,,,,
,1,60,55,55,%,85,,,,,
,1,300,60,60,%,90,,,,,
,1,180,50,30,%,,,,,,
