description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching,1,120,60,60,%,,,,,,
,1,120,68,68,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,3,30,120,120,%,,30,55,55,%,
,1,120,55,55,%,,,,,,
,1,60,92,92,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,84,84,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,90,90,%,,,,,,
,1,240,55,55,%,,,,,,
,1,60,92,92,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,84,84,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,90,90,%,,,,,,
,1,240,55,55,%,,,,,,
,1,60,92,92,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,84,84,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,90,90,%,,,,,,
,1,240,55,55,%,,,,,,
,1,60,92,92,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,84,84,%,,,,,,
,1,60,86,86,%,,,,,,
,1,60,88,88,%,,,,,,
,1,60,90,90,%,,,,,,
,1,360,40,40,%,,,,,,
