description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today, we have 3 climbs of 12min which progressively become harder as we get to the top of the climb. The last minute is out of the saddle and digging DEEP pushing above your FTP. You can do it!",1,180,45,55,%,85,,,,,
,1,20,125,125,%,100,,,,,
,1,180,56,65,%,85,,,,,
,1,20,125,125,%,100,,,,,
,1,60,55,55,%,85,,,,,
,1,60,61,79,%,75,,,,,
,1,300,80,80,%,75,,,,,
,1,60,81,94,%,70,,,,,
,1,180,95,95,%,70,,,,,
,1,60,96,104,%,65,,,,,
,1,60,105,105,%,65,,,,,
,1,180,55,55,%,85,,,,,
,1,60,61,79,%,75,,,,,
,1,300,80,80,%,75,,,,,
,1,60,81,94,%,70,,,,,
,1,180,95,95,%,70,,,,,
,1,60,96,104,%,65,,,,,
,1,60,105,105,%,65,,,,,
,1,180,55,55,%,85,,,,,
,1,60,61,79,%,75,,,,,
,1,300,80,80,%,75,,,,,
,1,60,81,94,%,70,,,,,
,1,180,95,95,%,70,,,,,
,1,60,96,104,%,65,,,,,
,1,60,105,105,%,65,,,,,
,1,180,65,45,%,,,,,,
