description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shane Miller - GPLama,1,300,0,0,0,,,,,,
,1,60,130,130,%,,,,,,
,1,120,25,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,25,150,%,,,,,,
,1,60,150,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,160,%,,,,,,
,1,45,160,90,%,,,,,,
,1,45,90,160,%,,,,,,
,1,60,160,50,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,150,%,,,,,,
,1,60,150,50,%,,,,,,
,1,120,0,0,0,,,,,,
,1,60,130,130,%,,,,,,
,1,120,25,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,25,150,%,,,,,,
,1,60,150,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,160,%,,,,,,
,1,45,160,90,%,,,,,,
,1,45,90,160,%,,,,,,
,1,60,160,50,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,150,%,,,,,,
,1,60,150,50,%,,,,,,
,1,120,0,0,0,,,,,,
,1,60,130,130,%,,,,,,
,1,120,25,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,25,150,%,,,,,,
,1,60,150,25,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,160,%,,,,,,
,1,45,160,90,%,,,,,,
,1,45,90,160,%,,,,,,
,1,60,160,50,%,,,,,,
,1,10,0,0,0,,,,,,
,1,60,50,150,%,,,,,,
,1,60,150,50,%,,,,,,
,1,300,0,0,0,,,,,,
