description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shane Miller - GPLama,1,360,0,0,0,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,120,0,0,0,,,,,,
,1,45,75,115,%,,,,,,
,1,45,115,75,%,,,,,,
,1,45,75,115,%,,,,,,
,1,45,115,75,%,,,,,,
,1,45,75,115,%,,,,,,
,1,45,115,75,%,,,,,,
,1,45,75,115,%,,,,,,
,1,45,115,75,%,,,,,,
,1,45,75,115,%,,,,,,
,1,45,115,75,%,,,,,,
,1,120,0,0,0,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,30,75,130,%,,,,,,
,1,30,130,75,%,,,,,,
,1,360,0,0,0,,,,,,
