description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: HumanPowerPerformance.com,1,600,40,40,%,,,,,,
,1,600,80,80,%,,,,,,
,1,180,105,105,%,,,,,,
,1,180,55,55,%,,,,,,
,1,600,80,80,%,,,,,,
,1,180,105,105,%,,,,,,
,1,180,55,55,%,,,,,,
,1,600,80,80,%,,,,,,
,1,180,105,105,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,110,110,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,110,110,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,110,110,%,,,,,,
,1,180,55,55,%,,,,,,
,1,240,40,40,%,,,,,,
