description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Ah, such a great workout and pyramid! Go for it!",1,900,40,60,%,,,,,,
,1,300,70,70,%,,,,,,
,1,120,40,40,%,,,,,,
,1,180,105,105,%,,,,,,
,1,120,55,55,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,55,55,%,,,,,,
,1,90,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,180,55,55,%,,,,,,
,1,30,125,125,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,180,55,55,%,,,,,,
,1,90,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,105,105,%,,,,,,
,1,120,55,55,%,,,,,,
,1,300,70,70,%,,,,,,
,1,600,60,30,%,,,,,,
